Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating,Path
The Medium,(2021),"Drama,War",An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.,"https://m.media-amazon.com/images/M/MV5BNDA4ZDVlOWMtNzAzMi00YmYwLTljYjctYzQ1MzcyOWZmYzdmXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",100029,https://www.imdb.com/title/tt0100029/,108 min,A,"37,253",6.2,Posters\100029.jpg
The Unforgivable,(2021),Comedy,Two couples rent a vacation home for what should be a celebratory weekend get-away.,"https://m.media-amazon.com/images/M/MV5BMjMwOGEyMTQtMDllMC00YTU3LTgyNzktYmEwY2Y4MjQzYmRkXkEyXkFqcGdeQXVyMjM4OTYzMTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",10003008,https://www.imdb.com/title/tt10003008/,52 min,R,"18,464",5.9,Posters\10003008.jpg
Hidden,(I) (2015),"Horror,Sci-Fi,Thriller",Based on the popular diary of the anonymous sex worker known only as Belle de Jour.,"https://m.media-amazon.com/images/M/MV5BMTM1Njg3MzgwOF5BMl5BanBnXkFtZTcwNzMxMzU3MQ@@._V1_UY98_CR5,0,67,98_AL_.jpg",1000734,https://www.imdb.com/title/tt1000734/,43 min,UA,"158,121",7.5,Posters\1000734.jpg
Royal Pains,(2022– ),"Action,Crime,Drama",A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,"https://m.media-amazon.com/images/M/MV5BMTYyMzYxMjM3OF5BMl5BanBnXkFtZTcwNjg2OTA3MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",1000774,https://www.imdb.com/title/tt1000774/,96 min,15+,"92,249",5.7,Posters\1000774.jpg
Blood of Zeus,(2020– ),"Animation,Action,Adventure","A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army.","https://m.media-amazon.com/images/M/MV5BOWEzZmI2NTItMTFhZi00OWY0LWJiYTktMzIzYzRhNjA1N2IyXkEyXkFqcGdeQXVyMTUzMTM1NDU@._V1_UY98_CR15,0,67,98_AL_.jpg",10009170,https://www.imdb.com/title/tt10009170/,30 min,18,"18,832",7.5,Posters\10009170.jpg
Marked for Death,(1990),"Action,Crime,Drama",A retired DEA agent is out to hunt down and take out a Jamaican drug posse that has targeted he and his family for murder.,"https://m.media-amazon.com/images/M/MV5BYTEzOTNhODMtOTA5NC00YWM2LWJmYTEtOTAyNDVjZWQ3OTUzXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",100114,https://www.imdb.com/title/tt0100114/,93 min,UA 7+,810,7.1,Posters\100114.jpg
Ghost Rider,(2007),"Action,Drama,War","In 1943, the crew of a B-17 based in the UK prepares for its 25th and final bombing mission over Germany before returning home to the USA.","https://m.media-amazon.com/images/M/MV5BNzFjZTI0YTgtMzk3OS00ODZiLTliMTMtNTc3NWViMWExM2I1L2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX67_CR0,0,67,98_AL_.jpg",100133,https://www.imdb.com/title/tt0100133/,109 min,UA,"241,962",7.7,Posters\100133.jpg
Tropa de Elite,(1993),"Animation,Adventure,Comedy",Two garbage men uncover a conspiracy involving illegal toxic waste dumping and decide to bring the whole operation down.,"https://m.media-amazon.com/images/M/MV5BODc3ZmI0NzAtYWFiZC00ZGIwLTk3NDUtZWUxYTUxODc2ZDM1XkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_UX67_CR0,0,67,98_AL_.jpg",100135,https://www.imdb.com/title/tt0100135/,98 min,UA,"3,783",6.2,Posters\100135.jpg
Mermaids,(1990),"Comedy,Drama,Romance","An unconventional single mother relocates with her two daughters to a small Massachusetts town in 1963, where a number of events and relationships both challenge and strengthen their familial bonds.","https://m.media-amazon.com/images/M/MV5BYTRiNjIwYjAtZWZmNC00Y2ZmLTk3ODgtMTBmNDRlYzNiOGQ2XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",100140,https://www.imdb.com/title/tt0100140/,110 min,U,"33,125",6.7,Posters\100140.jpg
He's Just Not That Into You,(2009),"Comedy,Drama,Romance",This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.,"https://m.media-amazon.com/images/M/MV5BMTY5MTUyNDgwMF5BMl5BanBnXkFtZTcwNzYzMDQyMg@@._V1_UX67_CR0,0,67,98_AL_.jpg",1001508,https://www.imdb.com/title/tt1001508/,129 min,13,"175,578",6.4,Posters\1001508.jpg
